Cell,Pack Voltage (V),SMod,S,Pack Current (A),P,MCnt,Pack Power (kW),Pack Energy (kWh),Total Pack Weight (kg),Cell Weight (kg),Total Wall Weight (kg),Grav Energy Density (Wh/kg),Grav Power Density (W/kg),Pack Length (mm),Pack Width (mm),Pack Height (mm),Total Wall Volume (mm³)
GRPA344145,518.0,28,140,117.0,1.0,5,60.606,4.0404,22.67794352,19.74,2.9379435199999997,0.17816430296850833,2.672464544527625,280.0,215.0,144.0,1084112.0
GRPA344145,510.6,23,138,117.0,1.0,6,59.7402,3.98268,22.395388511999997,19.458,2.9373885119999996,0.17783482514116614,2.667522377117492,230.0,258.0,144.0,1083907.2
GRPA344145,518.0,20,140,117.0,1.0,7,60.606,4.0404,22.760518303999998,19.74,3.0205183039999994,0.17751792582376863,2.66276888735653,200.0,301.0,144.0,1114582.4
GRPA344145,503.20000000000005,17,136,117.0,1.0,8,58.87440000000001,3.9249600000000004,22.181047455999998,19.176,3.0050474559999993,0.1769510663455298,2.654265995182947,170.0,344.0,144.0,1108873.5999999999
GRPA344145,499.5,27,135,117.0,1.0,5,58.4415,3.8961,21.8818008,19.035,2.8468008,0.17805207330102374,2.670781099515356,270.0,215.0,144.0,1050480.0
GRPA344145,488.40000000000003,22,132,117.0,1.0,6,57.1428,3.8095200000000005,21.441812352,18.612,2.829812352,0.17766781732163908,2.665017259824586,220.0,258.0,144.0,1044211.2
GRPA344145,492.09999999999997,19,133,117.0,1.0,7,57.5757,3.8383799999999995,21.649508704,18.753,2.8965087039999995,0.17729640207912958,2.659446031186944,190.0,301.0,144.0,1068822.4
GRPA344145,473.6,16,128,117.0,1.0,8,55.4112,3.69408,20.912604415999997,18.048,2.8646044159999997,0.176643708574801,2.649655628622015,160.0,344.0,144.0,1057049.5999999999
GRPA344145,621.6,28,168,234.0,2.0,6,145.4544,9.69696,52.567336704,47.376,5.191336703999999,0.18446740139418422,2.7670110209127627,280.0,516.0,144.0,1915622.4
GRPA344145,621.6000000000001,24,168,234.0,2.0,7,145.45440000000002,9.696960000000002,52.685813568,47.376,5.309813567999999,0.18405258158316995,2.760788723747549,240.0,602.0,144.0,1959340.7999999998
GRPA344145,621.6,21,168,234.0,2.0,8,145.4544,9.69696,52.813265951999995,47.376,5.437265952,0.18360841400744285,2.7541262101116426,210.0,688.0,144.0,2006371.2
GRPA344145,599.4000000000001,27,162,234.0,2.0,6,140.25960000000003,9.350640000000002,50.723013024,45.684,5.039013024,0.18434709301625424,2.7652063952438133,270.0,516.0,144.0,1859414.4
GRPA344145,595.7,23,161,234.0,2.0,7,139.39380000000003,9.29292,50.535598528,45.402,5.133598527999999,0.18388859082872283,2.758328862430843,230.0,602.0,144.0,1894316.7999999998
GRPA344145,592.0,20,160,234.0,2.0,8,138.528,9.2352,50.357159552,45.12,5.237159552,0.18339398175275382,2.750909726291307,200.0,688.0,144.0,1932531.2
GRPA344145,621.6,28,168,117.0,1.0,6,72.7272,4.84848,27.163269311999997,23.688,3.4752693119999996,0.17849397818465368,2.677409672769805,280.0,258.0,144.0,1282387.2
GRPA344145,621.6000000000001,24,168,117.0,1.0,7,72.72720000000001,4.848480000000001,27.204556703999998,23.688,3.5165567039999996,0.17822308419703486,2.6733462629555227,240.0,301.0,144.0,1297622.4
GRPA344145,621.6,21,168,117.0,1.0,8,72.7272,4.84848,27.254819616,23.688,3.566819616,0.17789440797302838,2.6684161195954252,210.0,344.0,144.0,1316169.6
GRPA344145,592.0,32,160,117.0,1.0,5,69.264,4.6176,25.8625144,22.56,3.3025143999999997,0.17854412485121712,2.6781618727682566,320.0,215.0,144.0,1218640.0
GRPA344145,599.4000000000001,27,162,117.0,1.0,6,70.12980000000002,4.675320000000001,26.209693152,22.842,3.3676931519999997,0.17838133292465647,2.6757199938698473,270.0,258.0,144.0,1242691.2
GRPA344145,595.7,23,161,117.0,1.0,7,69.69690000000001,4.64646,26.093547104,22.701,3.3925471039999997,0.17806931274927063,2.6710396912390597,230.0,301.0,144.0,1251862.4
GRPA344145,592.0,20,160,117.0,1.0,8,69.264,4.6176,25.986376575999998,22.56,3.426376576,0.1776931072516141,2.6653966087742114,200.0,344.0,144.0,1264345.6
GRPA247145,384.8,13,104,201.6,4.0,8,77.57567999999999,12.92928,70.737194961,63.648,7.089194960999999,0.18277908824527725,1.0966745294716633,130.0,1488.0,144.5,2615939.0999999996
GRPA247145,414.40000000000003,16,112,151.2,3.0,7,62.65728,10.44288,57.0296878205,51.408,5.621687820499999,0.1831130486435204,1.0986782918611224,160.0,976.5,144.5,2074423.5499999998
GRPA247145,414.40000000000003,14,112,151.2,3.0,8,62.65728,10.44288,57.262960962,51.408,5.854960962,0.18236709776377003,1.0942025865826202,140.0,1116.0,144.5,2160502.2
